,party,votes,eligible_count,blank,invalid,total_valid,total_casted,time_stamp,address,names,refs,links,year
7,"Venstre, Danmarks Liberale Parti",170,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
8,Enhedslisten - De Rød-Grønne,58,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
9,Michael Ellegaard,0,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
10,Lars Grønbæk Larsen,0,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
0,Socialdemokratiet,551,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
1,Radikale Venstre,121,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
2,Det Konservative Folkeparti,83,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
3,SF - Socialistisk Folkeparti,188,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
4,Liberal Alliance,69,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
5,Kristendemokraterne,7,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
6,Dansk Folkeparti,188,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
7,"Venstre, Danmarks Liberale Parti",398,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
8,Enhedslisten - De Rød-Grønne,102,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
9,Michael Ellegaard,0,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
10,Lars Grønbæk Larsen,0,1954,9,9,1707,1725,2011-09-16 14:07:48,Glamsbjerg Hallen                    Mågevej 7                    5620 Glamsbjerg,Glamsbjerg,F604420008.htm,https://www.kmdvalg.dk/fv/2011/F604420008.htm,2011
0,Socialdemokratiet,182,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
1,Radikale Venstre,48,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
2,Det Konservative Folkeparti,40,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
3,SF - Socialistisk Folkeparti,61,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
4,Liberal Alliance,42,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
5,Kristendemokraterne,4,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
6,Dansk Folkeparti,104,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
7,"Venstre, Danmarks Liberale Parti",178,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
8,Enhedslisten - De Rød-Grønne,53,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
9,Michael Ellegaard,0,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
10,Lars Grønbæk Larsen,0,846,8,2,712,722,2011-09-16 12:29:46,Flemløse Gl. Kro                    Langgade 3                    5620 Glamsbjerg,Flemløse,F604420009.htm,https://www.kmdvalg.dk/fv/2011/F604420009.htm,2011
0,Socialdemokratiet,108,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
1,Radikale Venstre,23,385,4,3,340,347,2011-09-16 12:09:56,Søllested Forsamlingshus                    Søllestedvej 16                    5620 Glamsbjerg,Søllested,F604420010.htm,https://www.kmdvalg.dk/fv/2011/F604420010.htm,2011
