kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs;refs;municipality;names;constituency
210;1275927;703808;Fredensborg-Hallen;Asminderød;Fredensborg Kommune;F302210001.htm;F302210001.htm;Fredensborg Kommune;Asminderød;Fredensborgkredsen
210;1278074;709824;Endrupskolens Hal;Fredensborg;Fredensborg Kommune;F302210002.htm;F302210002.htm;Fredensborg Kommune;Fredensborg;Fredensborgkredsen
210;1277168;703766;Humlebæk-Hallen;Humlebæk;Fredensborg Kommune;F302210003.htm;F302210003.htm;Fredensborg Kommune;Humlebæk;Fredensborgkredsen
210;1275928;703814;Humlebæk Skole;Baunebjerg;Fredensborg Kommune;F302210004.htm;F302210004.htm;Fredensborg Kommune;Baunebjerg;Fredensborgkredsen
210;1278072;709818;Egedalshallen;Kokkedal;Fredensborg Kommune;F302210005.htm;F302210005.htm;Fredensborg Kommune;Ullerød;Fredensborgkredsen
210;1277402;708376;NKK-Hallen;Niverød;Fredensborg Kommune;F302210007.htm;F302210007.htm;Fredensborg Kommune;Niverød;Fredensborgkredsen
210;1277820;700760;Karlebo Kro;Karlebo;Fredensborg Kommune;F302210008.htm;F302210008.htm;Fredensborg Kommune;Karlebo;Fredensborgkredsen
210;1275558;702010;"Nivå Skole Nord;";Nivå;Fredensborg Kommune;F302210009.htm;F302210009.htm;Fredensborg Kommune;Nivå;Fredensborgkredsen
607;1292492;707936;Fredericia Gymnasium;Gymnasiet;Fredericia Kommune;F710607001.htm;F710607001.htm;Fredericia Kommune;Gymnasiet;Fredericiakredsen
607;1292488;709738;Bredstrup-Pjedstedhallen;Bredstrup-Pjedsted;Fredericia Kommune;F710607002.htm;F710607002.htm;Fredericia Kommune;Bredstrup-Pjedsted;Fredericiakredsen
607;1292498;705216;Elbo-Hallen;Erritsø;Fredericia Kommune;F710607003.htm;F710607003.htm;Fredericia Kommune;Erritsø;Fredericiakredsen
607;1292502;709732;Herslev Forsamlingshus;Herslev;Fredericia Kommune;F710607004.htm;F710607004.htm;Fredericia Kommune;Herslev;Fredericiakredsen
607;1292490;701876;Erritsø-Hallen;Taulov;Fredericia Kommune;F710607005.htm;F710607005.htm;Fredericia Kommune;Taulov;Fredericiakredsen
607;1292500;707944;Fredericia Idrætscenter;Søndermarken;Fredericia Kommune;F710607006.htm;F710607006.htm;Fredericia Kommune;Søndermarken;Fredericiakredsen
607;1292504;711148;Bøgeskovhallen;Bøgeskov;Fredericia Kommune;F710607007.htm;F710607007.htm;Fredericia Kommune;Bøgeskov;Fredericiakredsen
607;1292506;712216;Fredericia Rådhus;Indre By;Fredericia Kommune;F710607008.htm;F710607008.htm;Fredericia Kommune;Indre By;Fredericiakredsen
147;1276554;701758;Skolen ved Søerne;"10. Kreds; Søerne";Frederiksberg Kommune;F110147001.htm;F110147001.htm;Frederiksberg Kommune;10. Kreds, Søerne;Falkonerkredsen
147;1276657;705122;Ny Hollænderskolen;"10. Kreds; Ny Hollænder";Frederiksberg Kommune;F110147002.htm;F110147002.htm;Frederiksberg Kommune;10. Kreds, Ny Hollænder;Falkonerkredsen
147;1278112;709590;Bülowsvejhallen;"10. Kreds; Bülowsvej";Frederiksberg Kommune;F110147003.htm;F110147003.htm;Frederiksberg Kommune;10. Kreds, Bülowsvej;Falkonerkredsen
