,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser,andel_indv
1059,791303,7.0,7.0,791,56.421311165366795,9.41239296405635,8800,Bjergsnæs Efterskole,Efterskoler,Efterskoler,"(56.421311165366795, 9.41239296405635)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1060,791304,6.3,6.5,791,56.411417510544005,9.34679331044587,8800,Hald Ege Efterskole,Efterskoler,Efterskoler,"(56.411417510544005, 9.34679331044587)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1061,791004,6.8,6.7,791,56.5110464159846,9.33529180360022,8831,Løgstrup Skole,Grundskoler,Folkeskoler,"(56.5110464159846, 9.33529180360022)",Løgstrup,Viborg Kommune,2011,,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1062,793008,6.5,6.2,820,56.6942514872145,9.50211601443255,9620,Ålestrup Realskole,Grundskoler,Friskoler og private grundskoler,"(56.6942514872145, 9.50211601443255)",Aalestrup,Vesthimmerlands Kommune,2011,5865.0,177831,1.3166666666666667,3.3,17.4,11.9,2.4909264312395685
1063,793301,6.6,6.5,820,56.6954343448591,9.51167418337143,9620,Aalestrup Naturefterskole,Efterskoler,Efterskoler,"(56.6954343448591, 9.51167418337143)",Aalestrup,Vesthimmerlands Kommune,2011,5865.0,177831,1.3166666666666667,3.3,17.4,11.9,2.4909264312395685
1064,793300,6.5,6.6,820,56.7116095555759,9.36725685790983,9631,Vesterbølle Efterskole,Efterskoler,Efterskoler,"(56.7116095555759, 9.36725685790983)",Gedsted,Vesthimmerlands Kommune,2011,,177831,1.3166666666666667,3.3,17.4,11.9,2.4909264312395685
1065,801001,5.4,5.9,846,56.7645559348212,9.869948886863579,9510,Arden Skole,Grundskoler,Folkeskoler,"(56.7645559348212, 9.869948886863579)",Arden,Mariagerfjord Kommune,2011,4615.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1066,801007,5.9,6.2,846,56.72559377014,9.81895070404382,9500,Solhverv Privatskole,Grundskoler,Friskoler og private grundskoler,"(56.72559377014, 9.81895070404382)",Hobro,Mariagerfjord Kommune,2011,6903.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1067,823004,6.9,6.5,846,56.655380985740614,9.77142254196426,9500,Rosendalskolen,Grundskoler,Folkeskoler,"(56.65538098574061, 9.77142254196426)",Hobro,Mariagerfjord Kommune,2011,6903.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1068,823006,6.7,6.5,846,56.63573424585711,9.794034737722473,9500,Hobro Søndre Skole og MF10,Grundskoler,Folkeskoler,"(56.63573424585711, 9.794034737722471)",Hobro,Mariagerfjord Kommune,2011,6903.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1069,823301,5.3,6.1,846,56.65120882,9.81568894,9500,Thorsgaard Efterskole,Efterskoler,Efterskoler,"(56.65120882, 9.81568894)",Hobro,Mariagerfjord Kommune,2011,6903.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1070,823302,6.5,6.4,846,56.5879450742247,9.761775536746027,9500,Onsild Idrætsefterskole,Efterskoler,Efterskoler,"(56.5879450742247, 9.761775536746029)",Hobro,Mariagerfjord Kommune,2011,6903.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1071,823304,5.7,5.9,846,56.63139085567389,9.82915698062549,9500,Østerskov Efterskole,Efterskoler,Efterskoler,"(56.63139085567389, 9.82915698062549)",Hobro,Mariagerfjord Kommune,2011,6903.0,184920,1.3333333333333333,3.4,15.7,13.0,2.7944510354386667
1072,803001,6.3,6.2,849,57.09618990588761,9.52735377016705,9460,Brovst Skole,Grundskoler,Folkeskoler,"(57.096189905887606, 9.52735377016705)",Brovst,Jammerbugt Kommune,2011,5483.0,185213,1.2916666666666665,3.1,16.5,12.6,2.1758505773851042
1073,803004,6.6,6.3,849,57.084463273823296,9.48595465732744,9460,Skovsgård Tranum skole,Grundskoler,Folkeskoler,"(57.084463273823296, 9.48595465732744)",Brovst,Jammerbugt Kommune,2011,5483.0,185213,1.2916666666666665,3.1,16.5,12.6,2.1758505773851042
1074,805016,3.5,4.1,810,57.3192207166402,9.86824454950151,9700,Tolstrup-Stenum Friskole,Grundskoler,Friskoler og private grundskoler,"(57.3192207166402, 9.86824454950151)",Brønderslev,Brønderslev Kommune,2011,8022.0,180932,1.4750000000000003,3.9,16.4,11.7,2.425237562884293
1075,807300,5.5,5.8,810,57.155524792716704,10.2773710614861,9330,Dronninglund Efterskole,Efterskoler,Efterskoler,"(57.155524792716704, 10.2773710614861)",Dronninglund,Brønderslev Kommune,2011,6273.0,180932,1.4750000000000003,3.9,16.4,11.7,2.425237562884293
1076,809001,5.3,6.0,820,56.770902232430295,9.33670747459502,9640,Farsø Skole,Grundskoler,Folkeskoler,"(56.770902232430295, 9.33670747459502)",Farsø,Vesthimmerlands Kommune,2011,5944.0,177831,1.3166666666666667,3.3,17.4,11.9,2.4909264312395685
