,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
768,607018,5.9,6.7,607.0,55.564234488525,9.75584878942174,7000.0,244.0,Sct. Knuds Skole,Grundskoler,Friskoler og private grundskoler,"(55.564234488525, 9.75584878942174)"
769,609003,7.5,7.4,615.0,55.963743692752196,9.75522340102249,8752.0,445.0,Østbirk Skole,Grundskoler,Folkeskoler,"(55.963743692752196, 9.75522340102249)"
770,609004,7.2,7.5,615.0,55.9313267270838,9.85205307096374,8751.0,366.0,Gedved Skole,Grundskoler,Folkeskoler,"(55.9313267270838, 9.85205307096374)"
771,609300,7.4,7.5,615.0,55.920068598732904,9.997045158414169,8700.0,143.0,Elbæk Efterskole,Efterskoler,Efterskoler,"(55.920068598732904, 9.997045158414169)"
772,609301,7.0,7.4,615.0,55.96564241439901,9.71775598130052,8752.0,153.0,Vestbirk Musik- & Sportsefterskole,Efterskoler,Efterskoler,"(55.96564241439901, 9.71775598130052)"
773,611008,6.3,6.5,630.0,55.9077813956619,9.26061953268693,7323.0,386.0,Thyregod Skole,Grundskoler,Folkeskoler,"(55.9077813956619, 9.26061953268693)"
774,611013,6.3,6.4,630.0,,,7323.0,161.0,Karlskov Friskole,Grundskoler,Friskoler og private grundskoler,"(nan, nan)"
775,611300,7.6,7.7,630.0,55.913514171825895,9.331122516492849,7323.0,187.0,Vesterlund Efterskole,Efterskoler,Efterskoler,"(55.913514171825895, 9.331122516492849)"
776,613002,7.3,7.1,766.0,55.7711031916712,9.7057412267994,8722.0,812.0,Hedensted Skole,Grundskoler,Folkeskoler,"(55.7711031916712, 9.7057412267994)"
777,613005,6.6,6.7,766.0,55.802228096125795,9.698115780417401,8723.0,488.0,Løsning Skole,Grundskoler,Folkeskoler,"(55.802228096125795, 9.698115780417401)"
778,613008,7.4,7.2,766.0,55.82208156293161,9.61338017001781,7171.0,241.0,Bøgballe Friskole,Grundskoler,Friskoler og private grundskoler,"(55.82208156293161, 9.61338017001781)"
779,613009,7.0,7.2,766.0,55.71403890502889,9.684002137201391,8721.0,229.0,Vejlefjordskolens Grundskole,Grundskoler,Friskoler og private grundskoler,"(55.71403890502889, 9.684002137201391)"
780,613012,7.5,6.7,766.0,55.780753053179104,9.6952263140989,8722.0,646.0,Stjernevejskolen,Grundskoler,Folkeskoler,"(55.780753053179104, 9.6952263140989)"
781,613300,5.0,5.5,766.0,55.71403890502889,9.684002137201391,8721.0,53.0,Vejlefjordskolen Efterskole,Efterskoler,Efterskoler,"(55.71403890502889, 9.684002137201391)"
782,615002,6.4,6.3,615.0,55.842848590471,9.845385739743909,8700.0,476.0,Dagnæsskolen,Grundskoler,Folkeskoler,"(55.842848590471, 9.845385739743909)"
783,615003,6.7,6.8,615.0,55.901869464332,9.83620998586436,8700.0,510.0,Egebjergskolen,Grundskoler,Folkeskoler,"(55.901869464332, 9.83620998586436)"
784,615007,6.7,6.6,615.0,55.8709304685188,9.87208957966358,8700.0,441.0,Langmarkskolen,Grundskoler,Folkeskoler,"(55.8709304685188, 9.87208957966358)"
785,615011,8.1,7.7,615.0,55.8735244153121,9.918950812989118,8700.0,808.0,Stensballeskolen,Grundskoler,Folkeskoler,"(55.8735244153121, 9.918950812989118)"
786,615012,7.4,7.0,615.0,55.893794901478394,9.76835212877986,8700.0,424.0,Lundskolen,Grundskoler,Folkeskoler,"(55.893794901478394, 9.76835212877986)"
787,615014,6.9,6.9,615.0,55.8396727441164,9.813867848076251,8700.0,1043.0,Østerhåbskolen,Grundskoler,Folkeskoler,"(55.8396727441164, 9.813867848076251)"
788,615015,6.6,6.5,615.0,55.8350837931276,9.835418876942711,8700.0,719.0,Bankagerskolen,Grundskoler,Folkeskoler,"(55.8350837931276, 9.835418876942711)"
789,615016,7.8,7.7,615.0,55.863454700000005,9.85731584,8700.0,589.0,Hulvej Skole,Grundskoler,Friskoler og private grundskoler,"(55.863454700000005, 9.85731584)"
790,615017,7.9,7.8,615.0,55.8638096926231,9.850402126352401,8700.0,674.0,Sct Ibs Skole,Grundskoler,Friskoler og private grundskoler,"(55.8638096926231, 9.850402126352401)"
791,617002,7.4,7.5,630.0,55.7530723317202,9.423733368022681,7300.0,677.0,Bredagerskolen,Grundskoler,Folkeskoler,"(55.7530723317202, 9.423733368022681)"
792,619007,6.7,6.7,766.0,55.7119824207895,9.98601552587206,7130.0,568.0,Juelsminde Skole,Grundskoler,Folkeskoler,"(55.7119824207895, 9.98601552587206)"
793,619300,7.8,7.9,766.0,55.7137165432324,9.98899595201069,7130.0,181.0,Hellebjerg Idrætsefterskole,Efterskoler,Efterskoler,"(55.7137165432324, 9.98899595201069)"
794,619301,6.8,7.2,766.0,55.775009089029595,9.86554832485781,8783.0,514.0,Bjerre Gymnastik- og Idrætsefterskole Akademiet,Efterskoler,Efterskoler,"(55.775009089029595, 9.86554832485781)"
795,619305,4.6,6.1,766.0,55.756400959748795,9.82567493384391,8783.0,118.0,Bråskovgård Efterskole,Efterskoler,Efterskoler,"(55.756400959748795, 9.82567493384391)"
796,621001,7.3,6.8,621.0,55.5688933942313,9.487101949909869,6052.0,520.0,Alminde-Viuf Fællesskole,Grundskoler,Folkeskoler,"(55.5688933942313, 9.487101949909869)"
797,621002,6.2,6.2,621.0,55.5261620522774,9.467946718473751,6000.0,712.0,Bramdrup Skole,Grundskoler,Folkeskoler,"(55.5261620522774, 9.467946718473751)"
798,621003,7.3,6.8,621.0,55.476329780570204,9.4843807686111,6000.0,819.0,Brændkjærskolen,Grundskoler,Folkeskoler,"(55.476329780570204, 9.4843807686111)"
799,621011,7.6,7.2,621.0,55.47859378315891,9.47071019573742,6000.0,571.0,Sdr Vang Skole,Grundskoler,Folkeskoler,"(55.47859378315891, 9.47071019573742)"
800,621012,7.3,7.1,621.0,55.4880531283793,9.44803376707979,6000.0,561.0,Bakkeskolen,Grundskoler,Folkeskoler,"(55.4880531283793, 9.44803376707979)"
801,621013,8.1,7.6,621.0,55.5027430317791,9.52821955601807,6000.0,1000.0,Lyshøjskolen,Grundskoler,Folkeskoler,"(55.5027430317791, 9.52821955601807)"
802,621014,8.4,7.8,621.0,55.459358859195994,9.5554627401247,6091.0,416.0,Sdr.Bjert Centralskole,Grundskoler,Folkeskoler,"(55.459358859195994, 9.5554627401247)"
803,621016,7.4,7.0,621.0,55.4520074186407,9.471094498488108,6000.0,511.0,Vonsild Skole,Grundskoler,Folkeskoler,"(55.4520074186407, 9.471094498488108)"
804,621017,7.3,6.9,621.0,55.491676090632296,9.465356501978551,6000.0,484.0,Aalykkeskolen,Grundskoler,Folkeskoler,"(55.491676090632296, 9.465356501978551)"
805,621018,6.9,6.1,621.0,55.501812182403405,9.449044647002868,6000.0,516.0,Munkevængets Skole,Grundskoler,Folkeskoler,"(55.501812182403405, 9.449044647002868)"
